frequent_item_set	support
('ECT_5.0', 'PCTD_wood frame (5)', 'P_0.0', 'PT_8')	0.284
('PT_8', 'PCT_5.0', 'P_0.0', 'ECT_5.0')	0.284
('PT_8', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'PCT_5.0', 'P_0.0', 'PT_8')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0')	0.284
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.284
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'P_0.0', 'ECT_5.0')	0.284
('PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('ECT_5.0', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0', 'PT_8')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0', 'PT_8')	0.284
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('PT_8', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECT_5.0')	0.284
('ECT_5.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_0.0', 'PT_8')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_0.0', 'PT_8')	0.284
('PT_8', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECT_5.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'ECT_5.0')	0.284
('PT_8', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0')	0.284
('ECT_5.0', 'PCTD_wood frame (5)', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'P_0.0', 'PT_8')	0.284
('P_2.0', 'ECTD_wood frame (5)')	0.282
('P_2.0', 'ECT_5.0')	0.282
('P_2.0', 'ECT_5.0', 'ECTD_wood frame (5)')	0.282
('PCT_5.0', 'P_2.0', 'ECTD_wood frame (5)')	0.276
('P_2.0', 'PCT_5.0', 'ECT_5.0')	0.276
('P_2.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)')	0.276
('P_2.0', 'ECT_5.0', 'PCTD_wood frame (5)')	0.276
('ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PCT_5.0', 'P_2.0')	0.276
('ECT_5.0', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'P_2.0')	0.276
('ECT_5.0', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_2.0')	0.276
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'PCT_5.0')	0.276
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PCT_5.0')	0.276
('P_2.0', 'PTD_otc alterations permit', 'PCT_5.0')	0.228
('P_2.0', 'PT_8', 'PCTD_wood frame (5)')	0.228
('PCT_5.0', 'P_2.0', 'PT_8')	0.228
('PTD_otc alterations permit', 'P_2.0', 'PCTD_wood frame (5)')	0.228
('PT_8', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_2.0')	0.228
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'PCT_5.0')	0.228
('PT_8', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0')	0.228
('PCTD_wood frame (5)', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0')	0.228
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0')	0.228
('PTD_otc alterations permit', 'P_2.0', 'ECT_5.0')	0.223
('PTD_otc alterations permit', 'P_2.0', 'ECTD_wood frame (5)')	0.223
('P_2.0', 'PT_8', 'ECTD_wood frame (5)')	0.223
('P_2.0', 'PT_8', 'ECT_5.0')	0.223
('ECT_5.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_2.0')	0.223
('ECT_5.0', 'ECTD_wood frame (5)', 'P_2.0', 'PT_8')	0.223
('ECT_5.0', 'PTD_otc alterations permit', 'P_2.0', 'PT_8')	0.223
('PT_8', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'P_2.0')	0.223
('ECT_5.0', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PT_8')	0.223
('PT_8', 'ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'P_2.0')	0.223
('ECTD_wood frame (5)', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_2.0')	0.223
('ECTD_wood frame (5)', 'PCT_5.0', 'PTD_otc alterations permit', 'P_2.0')	0.223
('ECT_5.0', 'P_2.0', 'PCT_5.0', 'PT_8')	0.223
('ECT_5.0', 'PCT_5.0', 'PTD_otc alterations permit', 'P_2.0')	0.223
('PT_8', 'ECTD_wood frame (5)', 'PCT_5.0', 'P_2.0')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'PTD_otc alterations permit', 'P_2.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PCT_5.0')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'PTD_otc alterations permit', 'ECT_5.0')	0.223
('PT_8', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('PT_8', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223
('PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('ECT_5.0', 'P_2.0', 'ECTD_wood frame (5)', 'PCT_5.0', 'PT_8')	0.223
('ECT_5.0', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'PCT_5.0', 'ECT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'ECT_5.0')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PCT_5.0', 'ECT_5.0')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'PTD_otc alterations permit', 'PCT_5.0', 'PT_8')	0.223
('PT_8', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PT_8')	0.223
('ECT_5.0', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0')	0.223
('PT_8', 'PCTD_wood frame (5)', 'P_2.0', 'ECTD_wood frame (5)', 'PTD_otc alterations permit', 'PCT_5.0', 'ECT_5.0')	0.223
